,@attr,album,artist,date,image,loved,mbid,name,streamable,url
122,,"{'mbid': '2f536a6a-ffbe-4396-a6a5-098302d6c4d0', '#text': 'Surf'}","{'url': 'https://www.last.fm/music/Donnie+Trumpet+&+The+Social+Experiment', 'mbid': '', 'image': [{'size': 'small', '#text': 'https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'medium', '#text': 'https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'large', '#text': 'https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'extralarge', '#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png'}], 'name': 'Donnie Trumpet & The Social Experiment'}","{'uts': '1581634861', '#text': '13 Feb 2020, 23:01'}","[{'size': 'small', '#text': 'https://lastfm.freetls.fastly.net/i/u/34s/29ce6058b6b0439691511d104b8252d0.jpg'}, {'size': 'medium', '#text': 'https://lastfm.freetls.fastly.net/i/u/64s/29ce6058b6b0439691511d104b8252d0.jpg'}, {'size': 'large', '#text': 'https://lastfm.freetls.fastly.net/i/u/174s/29ce6058b6b0439691511d104b8252d0.jpg'}, {'size': 'extralarge', '#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/29ce6058b6b0439691511d104b8252d0.jpg'}]",0,40c3001c-3b26-4629-bdb3-be4abf8e509a,Sunday Candy,0,https://www.last.fm/music/Donnie+Trumpet+&+The+Social+Experiment/_/Sunday+Candy
123,,"{'mbid': '', '#text': 'On My Mind'}","{'url': 'https://www.last.fm/music/Ripe', 'mbid': '', 'image': [{'size': 'small', '#text': 'https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'medium', '#text': 'https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'large', '#text': 'https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'extralarge', '#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png'}], 'name': 'Ripe'}","{'uts': '1581634547', '#text': '13 Feb 2020, 22:55'}","[{'size': 'small', '#text': 'https://lastfm.freetls.fastly.net/i/u/34s/2bead17598d03f215821e22e82d8d32a.jpg'}, {'size': 'medium', '#text': 'https://lastfm.freetls.fastly.net/i/u/64s/2bead17598d03f215821e22e82d8d32a.jpg'}, {'size': 'large', '#text': 'https://lastfm.freetls.fastly.net/i/u/174s/2bead17598d03f215821e22e82d8d32a.jpg'}, {'size': 'extralarge', '#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/2bead17598d03f215821e22e82d8d32a.jpg'}]",0,4cdf3ae1-ab7a-4ea0-b287-9f05eba4fd0b,On My Mind,0,https://www.last.fm/music/Ripe/_/On+My+Mind
124,,"{'mbid': '04b902db-d67b-41ac-97c3-3260e0ccf622', '#text': 'Crave'}","{'url': 'https://www.last.fm/music/for+KING+&+COUNTRY', 'mbid': '', 'image': [{'size': 'small', '#text': 'https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'medium', '#text': 'https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'large', '#text': 'https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'extralarge', '#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png'}], 'name': 'for KING & COUNTRY'}","{'uts': '1581634495', '#text': '13 Feb 2020, 22:54'}","[{'size': 'small', '#text': 'https://lastfm.freetls.fastly.net/i/u/34s/567897232a52466abda0ec362a631fd6.jpg'}, {'size': 'medium', '#text': 'https://lastfm.freetls.fastly.net/i/u/64s/567897232a52466abda0ec362a631fd6.jpg'}, {'size': 'large', '#text': 'https://lastfm.freetls.fastly.net/i/u/174s/567897232a52466abda0ec362a631fd6.jpg'}, {'size': 'extralarge', '#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/567897232a52466abda0ec362a631fd6.jpg'}]",0,,Busted Heart (Hold On To Me),0,https://www.last.fm/music/for+KING+&+COUNTRY/_/Busted+Heart+(Hold+On+To+Me)
125,,"{'mbid': '', '#text': 'Frozen (Original Motion Picture Soundtrack / Deluxe Edition)'}","{'url': 'https://www.last.fm/music/Jonathan+Groff', 'mbid': '', 'image': [{'size': 'small', '#text': 'https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'medium', '#text': 'https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'large', '#text': 'https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'extralarge', '#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png'}], 'name': 'Jonathan Groff'}","{'uts': '1581634495', '#text': '13 Feb 2020, 22:54'}","[{'size': 'small', '#text': 'https://lastfm.freetls.fastly.net/i/u/34s/b5d4b00ca752c9465e899f46824d845c.jpg'}, {'size': 'medium', '#text': 'https://lastfm.freetls.fastly.net/i/u/64s/b5d4b00ca752c9465e899f46824d845c.jpg'}, {'size': 'large', '#text': 'https://lastfm.freetls.fastly.net/i/u/174s/b5d4b00ca752c9465e899f46824d845c.jpg'}, {'size': 'extralarge', '#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/b5d4b00ca752c9465e899f46824d845c.jpg'}]",0,,"Reindeer(s) Are Better Than People - From ""Frozen"" / Soundtrack Version",0,https://www.last.fm/music/Jonathan+Groff/_/Reindeer(s)+Are+Better+Than+People+-+From+%22Frozen%22+%2F+Soundtrack+Version
126,,"{'mbid': '04b902db-d67b-41ac-97c3-3260e0ccf622', '#text': 'Crave'}","{'url': 'https://www.last.fm/music/for+KING+&+COUNTRY', 'mbid': '', 'image': [{'size': 'small', '#text': 'https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'medium', '#text': 'https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'large', '#text': 'https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'extralarge', '#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png'}], 'name': 'for KING & COUNTRY'}","{'uts': '1581634292', '#text': '13 Feb 2020, 22:51'}","[{'size': 'small', '#text': 'https://lastfm.freetls.fastly.net/i/u/34s/567897232a52466abda0ec362a631fd6.jpg'}, {'size': 'medium', '#text': 'https://lastfm.freetls.fastly.net/i/u/64s/567897232a52466abda0ec362a631fd6.jpg'}, {'size': 'large', '#text': 'https://lastfm.freetls.fastly.net/i/u/174s/567897232a52466abda0ec362a631fd6.jpg'}, {'size': 'extralarge', '#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/567897232a52466abda0ec362a631fd6.jpg'}]",0,,Busted Heart (Hold On To Me),0,https://www.last.fm/music/for+KING+&+COUNTRY/_/Busted+Heart+(Hold+On+To+Me)
127,,"{'mbid': 'a98fb1a5-6eb4-4ab8-a004-b446e8da4cfe', '#text': 'The Divine Feminine'}","{'url': 'https://www.last.fm/music/Mac+Miller', 'mbid': '', 'image': [{'size': 'small', '#text': 'https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'medium', '#text': 'https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'large', '#text': 'https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'extralarge', '#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png'}], 'name': 'Mac Miller'}","{'uts': '1581634292', '#text': '13 Feb 2020, 22:51'}","[{'size': 'small', '#text': 'https://lastfm.freetls.fastly.net/i/u/34s/b8594f55efa1f7631dca99ff06dffa00.jpg'}, {'size': 'medium', '#text': 'https://lastfm.freetls.fastly.net/i/u/64s/b8594f55efa1f7631dca99ff06dffa00.jpg'}, {'size': 'large', '#text': 'https://lastfm.freetls.fastly.net/i/u/174s/b8594f55efa1f7631dca99ff06dffa00.jpg'}, {'size': 'extralarge', '#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/b8594f55efa1f7631dca99ff06dffa00.jpg'}]",0,,Dang! (feat. Anderson .Paak),0,https://www.last.fm/music/Mac+Miller/_/Dang!+(feat.+Anderson+.Paak)
128,,"{'mbid': '', '#text': 'Four Seconds'}","{'url': 'https://www.last.fm/music/Tufts+Beelzebubs', 'mbid': '', 'image': [{'size': 'small', '#text': 'https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'medium', '#text': 'https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'large', '#text': 'https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'extralarge', '#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png'}], 'name': 'Tufts Beelzebubs'}","{'uts': '1581626043', '#text': '13 Feb 2020, 20:34'}","[{'size': 'small', '#text': 'https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'medium', '#text': 'https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'large', '#text': 'https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'extralarge', '#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png'}]",0,,Refuge/Waiting on the World to Change,0,https://www.last.fm/music/Tufts+Beelzebubs/_/Refuge%2FWaiting+on+the+World+to+Change
129,,"{'mbid': '', '#text': 'The Window Seat'}","{'url': 'https://www.last.fm/music/Dylan+Owen', 'mbid': '', 'image': [{'size': 'small', '#text': 'https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'medium', '#text': 'https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'large', '#text': 'https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'extralarge', '#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png'}], 'name': 'Dylan Owen'}","{'uts': '1581625854', '#text': '13 Feb 2020, 20:30'}","[{'size': 'small', '#text': 'https://lastfm.freetls.fastly.net/i/u/34s/05231dca53a04e6ebbf0fb442b2c7e1f.jpg'}, {'size': 'medium', '#text': 'https://lastfm.freetls.fastly.net/i/u/64s/05231dca53a04e6ebbf0fb442b2c7e1f.jpg'}, {'size': 'large', '#text': 'https://lastfm.freetls.fastly.net/i/u/174s/05231dca53a04e6ebbf0fb442b2c7e1f.jpg'}, {'size': 'extralarge', '#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/05231dca53a04e6ebbf0fb442b2c7e1f.jpg'}]",0,,The Window Seat,0,https://www.last.fm/music/Dylan+Owen/_/The+Window+Seat
130,,"{'mbid': '', '#text': 'Miracle Love (Live)'}","{'url': 'https://www.last.fm/music/Matt+Corby', 'mbid': '', 'image': [{'size': 'small', '#text': 'https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'medium', '#text': 'https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'large', '#text': 'https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'extralarge', '#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png'}], 'name': 'Matt Corby'}","{'uts': '1581625633', '#text': '13 Feb 2020, 20:27'}","[{'size': 'small', '#text': 'https://lastfm.freetls.fastly.net/i/u/34s/6d85282f8674e0b6ed474ad832a91895.jpg'}, {'size': 'medium', '#text': 'https://lastfm.freetls.fastly.net/i/u/64s/6d85282f8674e0b6ed474ad832a91895.jpg'}, {'size': 'large', '#text': 'https://lastfm.freetls.fastly.net/i/u/174s/6d85282f8674e0b6ed474ad832a91895.jpg'}, {'size': 'extralarge', '#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/6d85282f8674e0b6ed474ad832a91895.jpg'}]",0,,Miracle Love - Live,0,https://www.last.fm/music/Matt+Corby/_/Miracle+Love+-+Live
131,,"{'mbid': '', '#text': 'Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition)'}","{'url': 'https://www.last.fm/music/Jonathan+Groff', 'mbid': '', 'image': [{'size': 'small', '#text': 'https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'medium', '#text': 'https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'large', '#text': 'https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'extralarge', '#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png'}], 'name': 'Jonathan Groff'}","{'uts': '1581623925', '#text': '13 Feb 2020, 19:58'}","[{'size': 'small', '#text': 'https://lastfm.freetls.fastly.net/i/u/34s/2ef08224dcaa7171d2d09d229e4846bb.jpg'}, {'size': 'medium', '#text': 'https://lastfm.freetls.fastly.net/i/u/64s/2ef08224dcaa7171d2d09d229e4846bb.jpg'}, {'size': 'large', '#text': 'https://lastfm.freetls.fastly.net/i/u/174s/2ef08224dcaa7171d2d09d229e4846bb.jpg'}, {'size': 'extralarge', '#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/2ef08224dcaa7171d2d09d229e4846bb.jpg'}]",0,,Get This Right - Outtake,0,https://www.last.fm/music/Jonathan+Groff/_/Get+This+Right+-+Outtake
